Date,Price,Open,High,Low,Vol.,Change %
06/03/2024,"3,767.10","3,782.06","3,849.47","3,759.07",262.39K,-0.40%
06/02/2024,"3,782.08","3,815.95","3,838.34","3,753.62",219.62K,-0.89%
06/01/2024,"3,815.95","3,762.63","3,832.35","3,753.32",143.81K,1.42%
05/31/2024,"3,762.66","3,747.89","3,844.96","3,724.57",294.56K,0.40%
05/30/2024,"3,747.55","3,767.22","3,824.94","3,703.74",293.81K,-0.58%
05/29/2024,"3,769.57","3,845.56","3,886.44","3,745.72",353.25K,-1.98%
05/28/2024,"3,845.56","3,894.33","3,929.21","3,775.08",436.24K,-1.25%
05/27/2024,"3,894.33","3,825.99","3,976.00","3,824.33",393.85K,1.79%
05/26/2024,"3,826.02","3,749.28","3,881.62","3,733.77",313.07K,2.05%
05/25/2024,"3,749.28","3,728.32","3,776.75","3,709.70",170.39K,0.57%
05/24/2024,"3,728.21","3,785.61","3,829.13","3,635.18",514.00K,-1.52%
05/23/2024,"3,785.65","3,739.07","3,941.42","3,645.49",1.19M,1.25%
05/22/2024,"3,739.08","3,790.42","3,810.50","3,654.54",597.46K,-1.36%
05/21/2024,"3,790.46","3,661.04","3,833.07","3,630.71",1.01M,3.53%
05/20/2024,"3,661.07","3,072.07","3,679.47","3,048.33",899.51K,19.17%
05/19/2024,"3,072.08","3,122.87","3,135.99","3,058.31",170.99K,-1.63%
05/18/2024,"3,122.87","3,092.09","3,145.59","3,084.73",205.74K,0.97%
05/17/2024,"3,092.75","2,944.99","3,116.65","2,933.39",369.55K,5.02%
05/16/2024,"2,944.99","3,032.64","3,040.62","2,924.20",306.25K,-2.96%
05/15/2024,"3,034.71","2,881.99","3,041.11","2,864.50",363.90K,5.30%
05/14/2024,"2,881.99","2,951.01","2,958.94","2,866.00",279.49K,-2.34%
05/13/2024,"2,951.01","2,929.36","2,993.23","2,865.08",381.30K,0.74%
05/12/2024,"2,929.35","2,912.56","2,953.92","2,903.16",111.77K,0.58%
05/11/2024,"2,912.56","2,909.86","2,943.58","2,889.62",144.62K,0.09%
05/10/2024,"2,909.86","3,036.32","3,052.94","2,882.82",355.90K,-4.16%
05/09/2024,"3,036.32","2,974.92","3,057.07","2,953.21",248.78K,2.06%
05/08/2024,"2,974.94","3,006.32","3,036.79","2,941.71",283.76K,-1.04%
05/07/2024,"3,006.36","3,062.03","3,128.32","3,004.04",315.01K,-1.82%
05/06/2024,"3,062.03","3,136.40","3,220.04","3,048.65",377.37K,-2.37%
05/05/2024,"3,136.40","3,117.14","3,170.63","3,074.55",229.16K,0.62%
05/04/2024,"3,117.23","3,102.25","3,146.74","3,095.58",205.59K,0.48%
05/03/2024,"3,102.25","2,987.11","3,125.81","2,958.98",381.95K,3.85%
05/02/2024,"2,987.12","2,973.30","3,014.55","2,897.11",387.64K,0.47%
05/01/2024,"2,973.27","3,014.38","3,023.06","2,819.19",672.37K,-1.36%
04/30/2024,"3,014.41","3,216.85","3,250.44","2,927.77",591.88K,-6.28%
04/29/2024,"3,216.29","3,261.72","3,286.75","3,119.56",438.13K,-1.39%
04/28/2024,"3,261.69","3,255.57","3,347.45","3,250.66",318.13K,0.19%
04/27/2024,"3,255.57","3,131.42","3,282.99","3,073.79",334.66K,3.98%
04/26/2024,"3,130.90","3,155.83","3,165.94","3,104.77",263.09K,-0.79%
04/25/2024,"3,155.83","3,141.03","3,189.11","3,078.65",369.13K,0.47%
04/24/2024,"3,141.03","3,220.11","3,292.31","3,111.91",409.83K,-2.46%
04/23/2024,"3,220.13","3,200.28","3,262.50","3,153.81",265.42K,0.61%
04/22/2024,"3,200.62","3,147.84","3,233.84","3,130.24",306.74K,1.68%
04/21/2024,"3,147.83","3,156.62","3,195.43","3,116.85",234.07K,-0.28%
04/20/2024,"3,156.63","3,056.51","3,168.90","3,020.82",256.05K,3.29%
04/19/2024,"3,056.23","3,064.49","3,122.51","2,871.82",645.65K,-0.27%
04/18/2024,"3,064.48","2,985.82","3,089.53","2,955.31",423.99K,2.63%
04/17/2024,"2,985.82","3,083.42","3,123.68","2,917.59",524.88K,-3.17%
04/16/2024,"3,083.43","3,100.98","3,125.19","2,998.17",560.47K,-0.56%
04/15/2024,"3,100.94","3,152.65","3,273.03","3,030.76",654.92K,-1.64%
04/14/2024,"3,152.65","3,005.96","3,168.52","2,913.83",799.68K,4.93%
04/13/2024,"3,004.44","3,237.16","3,296.69","2,863.89",1.06M,-7.27%
04/12/2024,"3,239.86","3,502.55","3,551.22","3,150.92",739.63K,-7.50%
04/11/2024,"3,502.55","3,545.16","3,615.24","3,479.15",349.38K,-1.20%
04/10/2024,"3,545.16","3,506.95","3,560.13","3,419.12",404.41K,1.09%
04/09/2024,"3,506.96","3,694.92","3,723.75","3,459.79",482.49K,-5.09%
04/08/2024,"3,694.93","3,454.17","3,727.87","3,409.58",538.85K,6.97%
04/07/2024,"3,454.17","3,351.99","3,459.43","3,344.89",217.80K,3.05%
04/06/2024,"3,352.03","3,317.84","3,394.80","3,307.23",190.08K,1.03%
04/05/2024,"3,317.84","3,327.45","3,344.17","3,212.89",359.70K,-0.29%
04/04/2024,"3,327.45","3,310.82","3,435.57","3,254.31",371.23K,0.51%
04/03/2024,"3,310.62","3,278.01","3,366.75","3,203.21",426.57K,1.00%
04/02/2024,"3,277.99","3,502.84","3,505.39","3,216.48",647.13K,-6.42%
04/01/2024,"3,502.82","3,647.08","3,647.08","3,421.96",422.72K,-3.96%
03/31/2024,"3,647.09","3,506.82","3,652.97","3,505.17",252.38K,4.00%
03/30/2024,"3,506.83","3,509.76","3,564.04","3,487.64",224.95K,-0.08%
03/29/2024,"3,509.76","3,559.43","3,583.18","3,475.04",334.49K,-1.40%
03/28/2024,"3,559.43","3,500.43","3,609.66","3,470.62",416.69K,1.69%
03/27/2024,"3,500.43","3,587.48","3,661.91","3,462.44",460.87K,-2.43%
03/26/2024,"3,587.50","3,590.62","3,677.24","3,544.55",520.43K,-0.09%
03/25/2024,"3,590.62","3,455.35","3,651.30","3,421.09",584.66K,3.92%
03/24/2024,"3,455.33","3,332.87","3,469.66","3,300.74",270.03K,3.67%
03/23/2024,"3,332.90","3,334.19","3,430.04","3,275.78",334.86K,-0.04%
03/22/2024,"3,334.12","3,492.89","3,541.65","3,254.56",589.84K,-4.55%
03/21/2024,"3,493.23","3,514.73","3,583.02","3,413.60",638.79K,-0.61%
03/20/2024,"3,514.73","3,165.07","3,531.37","3,063.60",1.26M,11.04%
03/19/2024,"3,165.20","3,520.32","3,546.23","3,151.42",1.11M,-10.09%
03/18/2024,"3,520.30","3,644.77","3,644.77","3,454.94",588.48K,-3.42%
03/17/2024,"3,644.78","3,523.66","3,678.07","3,421.42",549.29K,3.44%
03/16/2024,"3,523.68","3,741.16","3,778.60","3,476.82",567.02K,-5.81%
03/15/2024,"3,741.12","3,881.70","3,931.33","3,591.51",981.71K,-3.68%
03/14/2024,"3,883.94","4,004.30","4,009.92","3,729.51",672.52K,-3.01%
03/13/2024,"4,004.29","3,979.30","4,078.48","3,935.60",503.46K,0.63%
03/12/2024,"3,979.30","4,065.15","4,091.28","3,843.45",685.77K,-2.11%
03/11/2024,"4,065.02","3,878.47","4,081.72","3,756.39",767.30K,4.81%
03/10/2024,"3,878.47","3,905.17","3,961.94","3,793.64",372.52K,-0.68%
03/09/2024,"3,905.17","3,883.20","3,941.34","3,872.96",265.43K,0.57%
03/08/2024,"3,883.20","3,868.75","3,991.89","3,825.16",686.06K,0.35%
03/07/2024,"3,869.69","3,814.56","3,932.77","3,736.33",568.32K,1.45%
03/06/2024,"3,814.56","3,555.94","3,899.99","3,503.51",1.02M,7.27%
03/05/2024,"3,556.03","3,626.39","3,819.79","3,237.28",1.48M,-1.94%
03/04/2024,"3,626.34","3,488.67","3,638.10","3,445.47",769.53K,3.95%
03/03/2024,"3,488.67","3,420.64","3,491.53","3,364.44",363.55K,1.99%
03/02/2024,"3,420.64","3,433.51","3,459.96","3,395.03",296.91K,-0.37%
03/01/2024,"3,433.51","3,339.25","3,449.56","3,339.24",431.98K,2.82%
02/29/2024,"3,339.26","3,382.98","3,520.80","3,300.42",802.17K,-1.29%
02/28/2024,"3,383.03","3,242.44","3,482.48","3,183.92",1.01M,4.35%
02/27/2024,"3,242.14","3,175.94","3,285.01","3,165.91",674.56K,2.08%
02/26/2024,"3,175.94","3,112.59","3,193.67","3,038.00",582.39K,2.04%
02/25/2024,"3,112.59","2,992.29","3,117.59","2,984.29",450.78K,4.02%
02/24/2024,"2,992.29","2,922.24","3,005.95","2,907.23",251.89K,2.40%
02/23/2024,"2,922.24","2,972.47","2,992.80","2,906.43",441.33K,-1.69%
02/22/2024,"2,972.46","2,971.18","3,031.76","2,907.22",595.92K,0.04%
02/21/2024,"2,971.18","3,015.38","3,016.76","2,871.88",620.51K,-1.47%
02/20/2024,"3,015.38","2,944.79","3,030.61","2,879.82",674.55K,2.40%
02/19/2024,"2,944.80","2,880.16","2,983.48","2,859.82",478.68K,2.25%
02/18/2024,"2,880.10","2,785.90","2,892.79","2,765.97",391.11K,3.38%
02/17/2024,"2,785.90","2,801.80","2,804.17","2,721.21",251.97K,-0.57%
02/16/2024,"2,801.80","2,822.59","2,856.76","2,759.52",401.19K,-0.74%
02/15/2024,"2,822.59","2,775.12","2,864.41","2,760.98",520.70K,1.71%
02/14/2024,"2,775.12","2,640.12","2,785.51","2,619.77",491.97K,5.11%
02/13/2024,"2,640.10","2,657.91","2,686.14","2,597.15",530.99K,-0.67%
02/12/2024,"2,657.87","2,506.69","2,663.57","2,473.54",477.42K,6.03%
02/11/2024,"2,506.69","2,500.28","2,537.85","2,493.83",230.91K,0.26%
02/10/2024,"2,500.28","2,486.24","2,515.95","2,472.92",194.43K,0.56%
02/09/2024,"2,486.24","2,419.56","2,522.96","2,419.16",540.92K,2.76%
02/08/2024,"2,419.56","2,424.66","2,461.00","2,412.01",350.33K,-0.21%
02/07/2024,"2,424.64","2,372.65","2,443.71","2,354.46",355.40K,2.19%
02/06/2024,"2,372.65","2,301.83","2,390.53","2,299.24",381.23K,3.08%
02/05/2024,"2,301.83","2,289.78","2,336.63","2,271.28",244.98K,0.53%
02/04/2024,"2,289.78","2,296.50","2,310.34","2,272.02",180.39K,-0.29%
02/03/2024,"2,296.50","2,309.28","2,329.50","2,293.10",137.80K,-0.55%
02/02/2024,"2,309.28","2,304.28","2,324.57","2,282.87",246.89K,0.22%
02/01/2024,"2,304.28","2,283.14","2,311.31","2,240.79",323.61K,0.93%
01/31/2024,"2,283.14","2,343.11","2,350.80","2,266.80",408.79K,-2.56%
01/30/2024,"2,343.11","2,317.79","2,389.23","2,298.85",387.12K,1.09%
01/29/2024,"2,317.79","2,256.92","2,320.97","2,237.69",318.84K,2.70%
01/28/2024,"2,256.92","2,267.91","2,306.43","2,240.14",216.93K,-0.48%
01/27/2024,"2,267.91","2,267.56","2,282.16","2,252.31",151.26K,0.02%
01/26/2024,"2,267.55","2,217.71","2,280.83","2,195.88",377.79K,2.25%
01/25/2024,"2,217.71","2,234.64","2,242.85","2,173.82",344.11K,-0.76%
01/24/2024,"2,234.64","2,243.72","2,264.66","2,198.89",373.25K,-0.41%
01/23/2024,"2,243.74","2,313.65","2,351.18","2,169.54",750.52K,-3.02%
01/22/2024,"2,313.64","2,457.06","2,465.97","2,304.06",560.84K,-5.84%
01/21/2024,"2,457.06","2,472.04","2,481.63","2,453.48",126.52K,-0.61%
01/20/2024,"2,472.03","2,491.81","2,491.81","2,455.07",143.98K,-0.79%
01/19/2024,"2,491.81","2,469.77","2,504.09","2,418.61",443.42K,0.89%
01/18/2024,"2,469.77","2,531.26","2,548.79","2,430.97",467.22K,-2.43%
01/17/2024,"2,531.26","2,588.63","2,592.88","2,510.00",380.90K,-2.22%
01/16/2024,"2,588.64","2,511.95","2,613.71","2,501.00",395.07K,3.05%
01/15/2024,"2,511.94","2,473.96","2,553.24","2,472.69",332.15K,1.54%
01/14/2024,"2,473.96","2,578.36","2,578.37","2,470.21",316.45K,-4.05%
01/13/2024,"2,578.36","2,523.99","2,589.98","2,498.48",436.91K,2.15%
01/12/2024,"2,523.98","2,618.08","2,712.88","2,462.93",931.96K,-3.59%
01/11/2024,"2,618.08","2,581.90","2,688.26","2,567.55",889.36K,1.41%
01/10/2024,"2,581.79","2,344.29","2,629.68","2,342.21",1.12M,10.11%
01/09/2024,"2,344.67","2,330.99","2,369.60","2,229.25",588.19K,0.59%
01/08/2024,"2,330.98","2,221.40","2,357.14","2,167.42",565.23K,4.93%
01/07/2024,"2,221.40","2,240.49","2,254.70","2,209.46",216.41K,-0.85%
01/06/2024,"2,240.49","2,268.14","2,269.65","2,217.05",202.82K,-1.22%
01/05/2024,"2,268.12","2,267.29","2,275.25","2,207.40",426.01K,0.04%
01/04/2024,"2,267.27","2,209.49","2,293.17","2,202.99",467.01K,2.62%
01/03/2024,"2,209.49","2,355.28","2,383.92","2,122.78",852.01K,-6.19%
01/02/2024,"2,355.27","2,352.06","2,430.53","2,347.62",491.56K,0.14%
01/01/2024,"2,352.03","2,281.89","2,352.03","2,266.75",229.28K,3.07%
12/31/2023,"2,281.90","2,291.70","2,320.91","2,264.67",232.62K,-0.43%
12/30/2023,"2,291.70","2,299.24","2,322.76","2,269.23",219.92K,-0.33%
12/29/2023,"2,299.24","2,344.48","2,385.26","2,265.63",475.37K,-1.93%
12/28/2023,"2,344.47","2,378.63","2,443.59","2,338.46",626.91K,-1.44%
12/27/2023,"2,378.63","2,230.76","2,391.53","2,213.78",577.27K,6.63%
12/26/2023,"2,230.74","2,271.38","2,274.71","2,184.60",429.50K,-1.79%
12/25/2023,"2,271.38","2,263.57","2,303.28","2,253.25",298.17K,0.35%
12/24/2023,"2,263.57","2,308.60","2,325.08","2,247.73",319.33K,-1.95%
12/23/2023,"2,308.61","2,324.24","2,330.07","2,267.39",266.30K,-0.67%
12/22/2023,"2,324.23","2,239.62","2,341.52","2,232.83",620.73K,3.78%
12/21/2023,"2,239.62","2,202.19","2,277.72","2,183.35",471.46K,1.70%
12/20/2023,"2,202.19","2,177.45","2,263.30","2,161.76",440.35K,1.14%
12/19/2023,"2,177.44","2,218.82","2,254.75","2,137.80",400.94K,-1.86%
12/18/2023,"2,218.80","2,197.01","2,223.30","2,123.06",388.26K,0.99%
12/17/2023,"2,197.04","2,229.07","2,247.84","2,196.06",233.48K,-1.44%
12/16/2023,"2,229.07","2,220.41","2,262.68","2,212.80",206.79K,0.39%
12/15/2023,"2,220.41","2,315.40","2,317.42","2,213.18",349.63K,-4.11%
12/14/2023,"2,315.64","2,260.18","2,331.63","2,237.39",461.60K,2.45%
12/13/2023,"2,260.18","2,203.49","2,283.84","2,148.87",436.64K,2.57%
12/12/2023,"2,203.49","2,225.33","2,243.34","2,168.18",377.05K,-0.98%
12/11/2023,"2,225.34","2,352.26","2,355.02","2,164.16",678.03K,-5.40%
12/10/2023,"2,352.26","2,340.55","2,376.57","2,324.18",206.78K,0.50%
12/09/2023,"2,340.55","2,358.42","2,401.34","2,332.36",304.64K,-0.76%
12/08/2023,"2,358.42","2,355.78","2,389.36","2,340.88",397.41K,0.11%
12/07/2023,"2,355.80","2,233.45","2,381.65","2,224.61",518.61K,5.48%
12/06/2023,"2,233.45","2,293.36","2,310.20","2,223.15",431.57K,-2.61%
12/05/2023,"2,293.34","2,243.30","2,302.29","2,190.96",561.41K,2.22%
12/04/2023,"2,243.54","2,192.79","2,272.26","2,191.43",601.45K,2.31%
12/03/2023,"2,192.79","2,164.79","2,215.46","2,150.58",279.65K,1.29%
12/02/2023,"2,164.79","2,087.21","2,179.73","2,086.29",344.20K,3.72%
12/01/2023,"2,087.21","2,051.59","2,109.32","2,045.39",402.51K,1.74%
11/30/2023,"2,051.56","2,028.99","2,054.33","2,021.44",252.49K,1.11%
11/29/2023,"2,028.99","2,048.47","2,071.36","2,020.31",269.97K,-0.95%
11/28/2023,"2,048.47","2,027.51","2,074.79","1,996.19",312.94K,1.03%
11/27/2023,"2,027.51","2,062.30","2,071.13","1,987.43",354.28K,-1.70%
11/26/2023,"2,062.64","2,082.91","2,092.80","2,038.28",259.79K,-0.98%
11/25/2023,"2,083.09","2,080.63","2,089.64","2,065.17",154.35K,0.12%
11/24/2023,"2,080.62","2,061.92","2,129.20","2,059.23",460.97K,0.91%
11/23/2023,"2,061.92","2,063.05","2,088.20","2,040.66",264.01K,-0.06%
11/22/2023,"2,063.05","1,934.62","2,090.01","1,930.66",506.35K,6.64%
11/21/2023,"1,934.62","2,021.49","2,034.51","1,932.50",527.41K,-4.30%
11/20/2023,"2,021.49","2,011.02","2,064.05","1,994.89",455.23K,0.52%
11/19/2023,"2,011.01","1,961.72","2,014.93","1,943.63",269.02K,2.51%
11/18/2023,"1,961.72","1,960.80","1,971.02","1,920.13",298.88K,0.05%
11/17/2023,"1,960.80","1,961.77","1,990.24","1,908.24",430.92K,-0.05%
11/16/2023,"1,961.76","2,058.93","2,089.44","1,940.44",585.12K,-4.72%
11/15/2023,"2,058.93","1,979.40","2,060.95","1,967.97",455.57K,4.03%
11/14/2023,"1,979.10","2,054.15","2,064.51","1,943.01",521.22K,-3.66%
11/13/2023,"2,054.18","2,044.61","2,115.24","2,031.01",578.44K,0.47%
11/12/2023,"2,044.61","2,053.40","2,065.35","2,020.76",354.64K,-0.43%
11/11/2023,"2,053.42","2,077.72","2,089.24","2,033.56",405.96K,-1.17%
11/10/2023,"2,077.78","2,120.16","2,135.91","2,068.79",640.31K,-2.00%
11/09/2023,"2,120.16","1,888.42","2,131.31","1,882.91",1.21M,12.22%
11/08/2023,"1,889.29","1,885.95","1,903.67","1,873.47",265.08K,0.18%
11/07/2023,"1,885.97","1,900.98","1,906.55","1,852.05",370.10K,-0.79%
11/06/2023,"1,900.98","1,891.81","1,913.13","1,870.00",359.00K,0.46%
11/05/2023,"1,892.36","1,855.72","1,911.00","1,846.57",418.91K,1.97%
11/04/2023,"1,855.72","1,832.31","1,868.52","1,824.40",190.18K,1.28%
11/03/2023,"1,832.29","1,800.28","1,834.16","1,779.79",337.00K,1.78%
